USA,Aaron Krickstein,N,0.4204
FRA,Adrian Mannarino,A,0.4205
ROU,Adrian Voinea,N,0.4052
ARG,Agustin Calleri,N,0.3997
ESP,Albert Costa,N,0.4097
ESP,Albert Montanes,N,0.3936
ESP,Albert Portas,N,0.4097
ESP,Albert Ramos,A,0.3985
ESP,Alberto Berasategui,N,0.4424
ARG,Alberto Mancini,N,0.418
ESP,Alberto Martin,N,0.4189
COL,Alejandro Falla,N,0.4057
AUT,Alex Antonitsch,N,0.404
RUS,Alex Bogomolov Jr,N,0.4111
ESP,Alex Calatrava,N,0.405
ESP,Alex Corretja,N,0.4182
USA,Alex Obrien,N,0.3858
GER,Alex Radulescu,N,0.3733
GER,Alexander Mronz,N,0.3612
GER,Alexander Popp,N,0.4068
RUS,Alexander Volkov,N,0.4303
GER,Alexander Waske,N,0.3547
GER,Alexander Zverev,A,0.429
UKR,Alexandr Dolgopolov,A,0.396
GBR,Aljaz Bedene,A,0.3819
BIH,Amer Delic,N,0.3405
ISR,Amos Mansdorf,N,0.4134
SWE,Anders Jarryd,N,0.4224
USA,Andre Agassi,N,0.4341
BRA,Andre Sa,N,0.403
ITA,Andrea Gaudenzi,N,0.4069
GER,Andreas Beck,N,0.3538
AUT,Andreas Haider Maurer,A,0.37
ITA,Andreas Seppi,A,0.4041
SWE,Andreas Vinciguerra,N,0.4252
RUS,Andrei Cherkasov,N,0.4161
RUS,Andrei Chesnokov,N,0.4431
UKR,Andrei Medvedev,N,0.4221
RUS,Andrei Olhovskiy,N,0.365
ROU,Andrei Pavel,N,0.4088
RUS,Andrei Stoliarov,N,0.3761
ECU,Andres Gomez,N,0.416
AUS,Andrew Ilie,N,0.364
KAZ,Andrey Golubev,N,0.4018
RUS,Andrey Kuznetsov,A,0.3681
RUS,Andrey Rublev,A,0.4052
GBR,Andy Murray,A,0.4358
USA,Andy Roddick,N,0.3882
FRA,Antony Dupuis,N,0.3486
FRA,Arnaud Boetsch,N,0.4078
FRA,Arnaud Clement,N,0.3943
FRA,Arnaud Di Pasquale,N,0.4329
HUN,Attila Savolt,N,0.3469
BEL,Bart Wuyts,N,0.4387
GER,Benjamin Becker,N,0.3747
FRA,Benoit Paire,A,0.4073
AUS,Bernard Tomic,A,0.3632
GER,Bernd Karbacher,N,0.3954
GER,Bjorn Phau,N,0.4096
SLO,Blaz Kavcic,A,0.4163
USA,Bobby Reynolds,N,0.323
CZE,Bohdan Ulihrach,N,0.4152
GER,Boris Becker,N,0.398
SRB,Boris Pashanski,N,0.3901
CRO,Borna Coric,A,0.383
USA,Brad Gilbert,N,0.4329
NZL,Brett Steven,N,0.4068
USA,Brian Baker,N,0.3507
USA,Brian Vahaly,N,0.3788
USA,Bryan Shelton,N,0.3506
ZIM,Byron Black,N,0.4146
GER,Carl Uwe Steeb,N,0.4221
ARG,Carlos Berlocq,A,0.4085
ESP,Carlos Costa,N,0.4362
ESP,Carlos Moya,N,0.4051
PHI,Cecil Mamiit,N,0.3798
FRA,Cedric Pioline,N,0.3997
AUS,Chris Guccione,N,0.2817
CAN,Chris Pridham,N,0.3402
GBR,Chris Wilkinson,N,0.3741
USA,Chris Woodruff,N,0.3816
SWE,Christian Bergstrom,N,0.4344
NOR,Christian Ruud,N,0.4095
GER,Christian Saceanu,N,0.3693
GER,Christian Vinck,N,0.3933
RSA,Christo Van Rensburg,N,0.3758
BEL,Christophe Rochus,N,0.3924
USA,Chuck Adams,N,0.3608
SUI,Claudio Mezzadri,N,0.4015
ITA,Cristiano Caratti,N,0.3948
FRA,Cyril Saulnier,N,0.3681
BIH,Damir Dzumhur,A,0.4558
THA,Danai Udomchoke,N,0.3692
GER,Daniel Brands,A,0.3177
GBR,Daniel Evans,A,0.4295
ESP,Daniel Gimeno Traver,A,0.3668
CAN,Daniel Nestor,N,0.3687
CZE,Daniel Vacek,N,0.3686
ITA,Daniele Bracciali,N,0.3398
RUS,Daniil Medvedev,A,0.3748
ESP,David Ferrer,A,0.4367
BEL,David Goffin,A,0.4131
RSA,David Nainkin,N,0.4435
ARG,David Nalbandian,N,0.4421
GER,David Prinosil,N,0.3919
CZE,David Rikl,N,0.4074
ESP,David Sanchez,N,0.4231
USA,David Wheaton,N,0.3978
ITA,Davide Sanguinetti,N,0.3904
GER,Denis Gremelmayr,N,0.3819
UZB,Denis Istomin,A,0.3812
USA,Denis Kudla,A,0.4107
CAN,Denis Shapovalov,A,0.3733
NED,Dennis Van Scheppingen,N,0.3583
USA,Derrick Rostagno,N,0.3941
BEL,Dick Norman,N,0.3312
ITA,Diego Nargiso,N,0.4
ARG,Diego Sebastian Schwartzman,A,0.4409
UKR,Dimitri Poliakov,N,0.3941
ROU,Dinu Pescariu,N,0.4149
RUS,Dmitry Tursunov,N,0.398
AUT,Dominic Thiem,A,0.3846
SVK,Dominik Hrbaty,N,0.4165
USA,Donald Young,A,0.3852
USA,Doug Flach,N,0.4052
ISR,Dudi Sela,A,0.4045
SRB,Dusan Lajovic,A,0.3966
GER,Dustin Brown,A,0.3694
FRA,Edouard Roger Vasselin,N,0.3686
ARG,Eduardo Schwank,N,0.3653
ESP,Emilio Benfele Alvarez,N,0.4
ESP,Emilio Sanchez,N,0.401
LAT,Ernests Gulbis,A,0.3757
RUS,Evgeny Donskoy,A,0.3338
KAZ,Evgeny Korolev,N,0.4139
ITA,Fabio Fognini,A,0.4301
FRA,Fabrice Santoro,N,0.4125
ARG,Federico Delbonis,A,0.3971
ESP,Feliciano Lopez,A,0.357
ESP,Felix Mantilla,N,0.4459
CHI,Fernando Gonzalez,N,0.4029
BRA,Fernando Meligeni,N,0.4243
ESP,Fernando Verdasco,A,0.4072
ESP,Fernando Vicente,N,0.4124
BEL,Filip Dewulf,N,0.4291
SRB,Filip Krajinovic,A,0.3934
ITA,Filippo Volandri,N,0.4418
ITA,Flavio Cipolla,N,0.4098
BRA,Flavio Saretta,N,0.4298
FRA,Florent Serra,N,0.3953
GER,Florian Mayer,A,0.4096
USA,Francis Tiafoe,A,0.3738
ESP,Francisco Clavet,N,0.4278
ESP,Francisco Roig,N,0.4032
ARG,Franco Davin,N,0.456
ARG,Franco Squillari,N,0.406
CAN,Frank Dancevic,N,0.3392
FRA,Frederic Fontang,N,0.4117
POR,Frederico Gil,N,0.4089
DEN,Frederik Fetterlein,N,0.3807
ARG,Gabriel Markus,N,0.4325
FRA,Gael Monfils,A,0.4142
ESP,Galo Blanco,N,0.3927
RSA,Gary Muller,N,0.3508
POR,Gastao Elias,A,0.409
ARG,Gaston Etlis,N,0.3794
ARG,Gaston Gaudio,N,0.42
SUI,George Bastl,N,0.3544
ITA,Gianluca Pozzi,N,0.3974
ISR,Gilad Bloom,N,0.4283
AUT,Gilbert Schaller,N,0.4297
LUX,Gilles Muller,A,0.3439
FRA,Gilles Simon,A,0.4272
JPN,Go Soeda,A,0.3517
CRO,Goran Ivanisevic,N,0.3956
CRO,Goran Prpic,N,0.4361
CAN,Grant Connell,N,0.3213
RSA,Grant Stafford,N,0.4235
GBR,Greg Rusedski,N,0.3684
SLO,Grega Zemlja,N,0.3816
FRA,Gregory Carraz,N,0.3841
BUL,Grigor Dimitrov,A,0.3767
ARG,Guido Pella,A,0.3641
FRA,Guillaume Raoux,N,0.3858
ARG,Guillermo Canas,N,0.4196
ARG,Guillermo Coria,N,0.4577
ESP,Guillermo Garcia Lopez,A,0.4013
ARG,Guillermo Perez Roldan,N,0.4664
BRA,Gustavo Kuerten,N,0.4087
FRA,Guy Forget,N,0.3835
ISR,Harel Levy,N,0.3955
GER,Hendrik Dreekmann,N,0.3798
FRA,Henri Leconte,N,0.3975
SWE,Henrik Holm,N,0.393
ARG,Hernan Gumy,N,0.4283
MAR,Hicham Arazi,N,0.4031
ARG,Horacio De La Pena,N,0.4549
ARG,Horacio Zeballos,A,0.369
AUT,Horst Skoff,N,0.4138
KOR,Hyeon Chung,A,0.4217
KOR,Hyung Taik Lee,N,0.3674
RUS,Igor Andreev,N,0.3947
RUS,Igor Kunitsyn,N,0.3923
NED,Igor Sijsling,N,0.3895
UKR,Illya Marchenko,N,0.3917
GEO,Irakli Labadze,N,0.4144
CRO,Ivan Dodig,N,0.4069
USA,Ivan Lendl,N,0.4199
CRO,Ivan Ljubicic,N,0.3704
ESP,Ivan Navarro,N,0.3662
SUI,Ivo Heuberger,N,0.4192
CRO,Ivo Karlovic,A,0.303
CZE,Ivo Minar,N,0.4211
NED,Jacco Eltingh,N,0.359
USA,Jack Sock,A,0.3891
ESP,Jacobo Diaz,N,0.4086
BRA,Jaime Oncins,N,0.4087
PER,Jaime Yzaga,N,0.4292
SUI,Jakob Hlasek,N,0.4037
USA,James Blake,N,0.4176
AUS,James Duckworth,A,0.357
GBR,James Ward,N,0.324
AUS,Jamie Morgan,N,0.3289
SWE,Jan Apell,N,0.4006
CZE,Jan Hajek,N,0.3591
CZE,Jan Hernych,N,0.4071
SVK,Jan Kroslak,N,0.3773
GER,Jan Lennard Struff,A,0.3801
USA,Jan Michael Gambill,N,0.4004
NED,Jan Siemerink,N,0.3639
CZE,Jan Vacek,N,0.3808
SRB,Janko Tipsarevic,N,0.3943
USA,Jared Donaldson,A,0.3954
USA,Jared Palmer,N,0.4185
FIN,Jarkko Nieminen,N,0.4165
AUS,Jason Stoltenberg,N,0.4149
ARG,Javier Frana,N,0.4048
ESP,Javier Sanchez,N,0.404
FRA,Jean Philippe Fleurian,N,0.4168
MON,Jean Rene Lisnard,N,0.3957
USA,Jeff Morrison,N,0.3658
USA,Jeff Tarango,N,0.4126
GER,Jens Knippschild,N,0.3898
GBR,Jeremy Bates,N,0.3835
FRA,Jeremy Chardy,A,0.3752
FRA,Jerome Golmard,N,0.3997
POL,Jerzy Janowicz,A,0.3642
CAN,Jesse Levine,N,0.4092
USA,Jim Courier,N,0.4228
USA,Jim Grabb,N,0.3642
USA,Jimmy Arias,N,0.4175
USA,Jimmy Connors,N,0.419
TPE,Jimmy Wang,N,0.4022
